Song,Performer,Peak Position,grouped_genre,release_year,release_month,spotify_track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,time_signature,spotify_track_duration_ms,prior_song_count,prior_top10_count,prior_best_peak,prior_avg_peak
Thugs Get Lonely Too,2Pac Featuring Nate Dogg,98,other,2005,1,56.0,0.805,0.878,-6.081,0.253,0.0134,1e-06,0.21,0.7019999999999998,81.962,7.0,4.0,288080.0,0,0,101.0,101.0
Still Ballin,2Pac Featuring Trick Daddy,69,other,2003,4,48.0,0.939,0.7229999999999999,-4.955,0.18,0.00722,0.0,0.0483,0.672,99.039,8.0,4.0,169600.0,0,0,101.0,101.0
Runnin',"2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch",81,other,1997,2,60.0,0.545,0.796,-2.762,0.406,0.0467,0.000287,0.165,0.629,166.122,10.0,4.0,231986.0,0,0,101.0,101.0
Be True To Yourself,2nd II None,78,hiphop,1992,1,30.0,0.971,0.5779999999999998,-14.512,0.187,0.00297,0.0,0.3679999999999999,0.631,113.009,6.0,4.0,164960.0,0,0,101.0,101.0
If You Want It,2nd II None,64,hiphop,1992,4,37.0,0.93,0.547,-14.057,0.0607,0.00864,0.0,0.114,0.92,107.086,0.0,4.0,226666.0,1,0,78.0,78.0
This Is Ponderous,2nu,46,other,1990,12,15.0,0.8479999999999999,0.48,-17.561,0.112,0.389,0.0327,0.259,0.6069999999999999,114.316,9.0,4.0,217453.0,0,0,101.0,101.0
Kryptonite,3 Doors Down,3,metal,2000,4,79.0,0.545,0.8649999999999999,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.01,11.0,4.0,233933.0,0,0,101.0,101.0
Loser,3 Doors Down,55,metal,2000,10,58.0,0.499,0.88,-6.424,0.0654,0.0108,2.8e-05,0.226,0.39,147.899,6.0,4.0,264800.0,1,1,3.0,3.0
Be Like That,3 Doors Down,24,metal,2001,7,60.0,0.4869999999999999,0.7019999999999998,-6.043,0.0238,0.00536,5e-06,0.129,0.3059999999999999,95.973,7.0,4.0,265906.0,2,1,3.0,29.0
When I'm Gone,3 Doors Down,4,metal,2002,11,70.0,0.496,0.765,-5.66,0.033,0.00457,0.0,0.104,0.337,74.072,7.0,4.0,260506.0,3,1,3.0,27.333333333333332
Here Without You,3 Doors Down,5,metal,2003,8,76.0,0.536,0.55,-6.733,0.0248,0.0537,0.0,0.134,0.234,144.018,10.0,4.0,238560.0,4,2,3.0,21.5
Away From The Sun,3 Doors Down,62,metal,2004,7,57.0,0.532,0.686,-6.238,0.0254,0.0273,0.0,0.0903,0.3039999999999999,131.962,0.0,4.0,231786.0,5,3,3.0,18.2
Let Me Go,3 Doors Down,14,metal,2005,2,54.0,0.4779999999999999,0.8559999999999999,-4.881,0.0387,0.0192,0.0,0.107,0.454,91.998,1.0,4.0,243053.0,6,3,3.0,25.5
It's Not My Time,3 Doors Down,17,metal,2008,3,62.0,0.532,0.935,-4.798,0.0619,0.00133,8e-06,0.106,0.309,128.025,0.0,4.0,241960.0,7,3,3.0,23.857142857142858
When You're Young,3 Doors Down,81,metal,2011,2,49.0,0.458,0.774,-4.356,0.0316,0.0234,0.0,0.108,0.2,76.99599999999998,9.0,4.0,256013.0,8,3,3.0,23.0
Love Song,311,59,metal,2004,5,59.0,0.625,0.686,-8.336999999999998,0.0309,0.0154,0.0499,0.0932,0.556,139.817,9.0,4.0,211693.0,0,0,101.0,101.0
Rockin' Into The Night,38 Special,43,rock,1980,2,52.0,0.652,0.4919999999999999,-12.71,0.0324,0.0695,0.0,0.0748,0.8369999999999999,128.126,0.0,4.0,241226.0,0,0,101.0,101.0
Hold On Loosely,38 Special,27,rock,1981,2,61.0,0.546,0.7209999999999999,-5.47,0.03,0.00762,9.4e-05,0.0821,0.8259999999999998,127.222,9.0,4.0,279893.0,1,0,43.0,43.0
Fantasy Girl,38 Special,52,rock,1981,6,36.0,0.396,0.88,-5.151,0.0442,0.0766,0.00017,0.12,0.8479999999999999,123.266,4.0,4.0,247266.0,2,0,27.0,35.0
Caught Up In You,38 Special,10,rock,1982,5,64.0,0.4269999999999999,0.683,-8.513,0.0323,0.0241,0.000107,0.0476,0.882,131.024,1.0,4.0,279333.0,3,0,27.0,40.666666666666664
You Keep Runnin' Away,38 Special,38,rock,1982,8,27.0,0.63,0.824,-6.239,0.0337,0.0101,0.0,0.167,0.8449999999999999,132.832,9.0,4.0,236333.0,4,1,10.0,33.0
Teacher Teacher,38 Special,25,rock,1984,9,32.0,0.4089999999999999,0.954,-4.147,0.0607,0.00147,0.0,0.0961,0.7249999999999999,157.411,0.0,4.0,195133.0,5,1,10.0,34.0
The Sound Of Your Voice,38 Special,33,rock,1991,7,28.0,0.6159999999999999,0.786,-9.973,0.0281,0.0148,0.0,0.224,0.79,136.043,4.0,4.0,299600.0,6,1,10.0,32.5
No More (Baby I'ma Do Right),3LW,23,other,2000,11,57.0,0.7209999999999999,0.7229999999999999,-7.08,0.0631,0.1019999999999999,4e-06,0.0651,0.761,88.933,2.0,4.0,263440.0,0,0,101.0,101.0
Playas Gon' Play,3LW,81,other,2001,6,49.0,0.656,0.7239999999999999,-5.465,0.124,0.00395,5e-05,0.269,0.62,185.748,6.0,4.0,283533.0,1,0,23.0,23.0
I Do (Wanna Get Close To You),3LW Featuring P. Diddy & Loon,58,other,2002,8,33.0,0.8359999999999999,0.4909999999999999,-5.734,0.19,0.139,0.0,0.0489,0.8619999999999999,97.303,1.0,4.0,254226.0,0,0,101.0,101.0
